Date,Ccy,Curve,Term,Instrument,Day Counter,Market Rate
2021-11-08,USD,USD LIBOR,3M,DEPO,Actual360,0.12275
2021-11-08,USD,USD LIBOR,2Y,DEPO,Actual360,0.32527
2021-11-08,USD,USD LIBOR,3Y,DEPO,Actual360,0.5687
2021-11-08,USD,USD LIBOR,4Y,DEPO,Actual360,0.76915
2021-11-08,USD,USD LIBOR,5Y,DEPO,Actual360,0.9246
2021-11-08,USD,USD LIBOR,6Y,DEPO,Actual360,1.05262
2021-11-08,USD,USD LIBOR,7Y,DEPO,Actual360,1.1603
2021-11-08,USD,USD LIBOR,8Y,DEPO,Actual360,1.24825
2021-11-08,USD,USD LIBOR,9Y,DEPO,Actual360,1.32055
2021-11-08,USD,USD LIBOR,10Y,DEPO,Actual360,1.3838
2021-11-08,USD,USD LIBOR,12Y,DEPO,Actual360,1.4847
2021-11-08,USD,USD LIBOR,15Y,DEPO,Actual360,1.5883
2021-11-08,USD,USD LIBOR,20Y,DEPO,Actual360,1.68636
2021-11-08,USD,USD LIBOR,25Y,DEPO,Actual360,1.7218
2021-11-08,USD,USD LIBOR,30Y,DEPO,Actual360,1.7335
2021-11-08,USD,USD LIBOR,40Y,DEPO,Actual360,1.677
2021-11-08,USD,USD LIBOR,50Y,DEPO,Actual360,1.5875
