Date,Ccy,Curve,Term,Instrument,Day Counter,Market Rate
2021-11-09,USD,USD LIBOR,3M,DEPO,Actual360,0.14563
2021-11-09,USD,USD LIBOR,EDZ1,FUT,Actual360,99.80518
2021-11-09,USD,USD LIBOR,EDH2,FUT,Actual360,99.77593
2021-11-09,USD,USD LIBOR,EDM2,FUT,Actual360,99.61712
2021-11-09,USD,USD LIBOR,EDU2,FUT,Actual360,99.42869
2021-11-09,USD,USD LIBOR,EDZ2,FUT,Actual360,99.20545
2021-11-09,USD,USD LIBOR,EDH3,FUT,Actual360,99.03281
2021-11-09,USD,USD LIBOR,2Y,SWAP,Actual360,0.6434
2021-11-09,USD,USD LIBOR,3Y,SWAP,Actual360,0.9171
2021-11-09,USD,USD LIBOR,4Y,SWAP,Actual360,1.09345
2021-11-09,USD,USD LIBOR,5Y,SWAP,Actual360,1.22005
2021-11-09,USD,USD LIBOR,6Y,SWAP,Actual360,1.3172
2021-11-09,USD,USD LIBOR,7Y,SWAP,Actual360,1.3958
2021-11-09,USD,USD LIBOR,8Y,SWAP,Actual360,1.456
2021-11-09,USD,USD LIBOR,9Y,SWAP,Actual360,1.50585
2021-11-09,USD,USD LIBOR,10Y,SWAP,Actual360,1.5478
2021-11-09,USD,USD LIBOR,12Y,SWAP,Actual360,1.61015
2021-11-09,USD,USD LIBOR,15Y,SWAP,Actual360,1.66955
2021-11-09,USD,USD LIBOR,20Y,SWAP,Actual360,1.7211
2021-11-09,USD,USD LIBOR,25Y,SWAP,Actual360,1.72265
2021-11-09,USD,USD LIBOR,30Y,SWAP,Actual360,1.7067
2021-11-09,USD,USD LIBOR,40Y,SWAP,Actual360,1.6176
2021-11-09,USD,USD LIBOR,50Y,SWAP,Actual360,1.5205
