Date,Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
2021-11-16,3 MO,0.15788,0,0.15788,0.16004,0.999597
2021-11-16,EDZ1,0.20736,0,0.20736,0.19807,0.999358
2021-11-16,EDH2,0.25914,0,0.25914,0.22593,0.998704
2021-11-16,EDM2,0.44796,0,0.44796,0.29823,0.997487
2021-11-16,EDU2,0.6764,0,0.6764,0.38627,0.995785
2021-11-16,EDZ2,0.93964,0,0.93964,0.48439,0.993606
2021-11-16,EDH3,1.16227,0,1.16227,0.60094,0.990472
2021-11-16,2 YR,0.7744,0,0.7744,0.77322,0.98458
2021-11-16,3 YR,1.0758,0,1.0758,1.07551,0.968173
2021-11-16,4 YR,1.2465,0,1.2465,1.24816,0.95121
2021-11-16,5 YR,1.3615,0,1.3615,1.36495,0.933932
2021-11-16,6 YR,1.4592,0,1.4592,1.46481,0.915761
2021-11-16,7 YR,1.5378,0,1.5378,1.54496,0.897275
2021-11-16,8 YR,1.5953,0,1.5953,1.6042,0.879373
2021-11-16,9 YR,1.6416,0,1.6416,1.65206,0.861692
2021-11-16,10 YR,1.6812,0,1.6812,1.69319,0.84409
2021-11-16,12 YR,1.73795,0,1.73795,1.75179,0.810222
2021-11-16,15 YR,1.7916,0,1.7916,1.80733,0.762321
2021-11-16,20 YR,1.8358,0,1.8358,1.85239,0.690165
2021-11-16,25 YR,1.8321,0,1.8321,1.84266,0.630582
2021-11-16,30 YR,1.8144,0,1.8144,1.8168,0.579506
2021-11-16,40 YR,1.70545,0,1.70545,1.67095,0.512261
2021-11-16,50 YR,1.61838,0,1.61838,1.55642,0.458958
