Date,Curve,Term,Instrument,Ccy,Market Rate,Day Counter
2021-11-16,USD OIS,1D,OIS,USD,0.05,Actual365Fixed
2021-11-16,USD OIS,1W,OIS,USD,0.04025,Actual365Fixed
2021-11-16,USD OIS,2W,OIS,USD,0.0445,Actual365Fixed
2021-11-16,USD OIS,3W,OIS,USD,0.0432,Actual365Fixed
2021-11-16,USD OIS,1M,OIS,USD,0.0451,Actual365Fixed
2021-11-16,USD OIS,2M,OIS,USD,0.0495,Actual365Fixed
2021-11-16,USD OIS,3M,OIS,USD,0.05235,Actual365Fixed
2021-11-16,USD OIS,4M,OIS,USD,0.0547,Actual365Fixed
2021-11-16,USD OIS,5M,OIS,USD,0.065,Actual365Fixed
2021-11-16,USD OIS,6M,OIS,USD,0.07375,Actual365Fixed
2021-11-16,USD OIS,7M,OIS,USD,0.087,Actual365Fixed
2021-11-16,USD OIS,8M,OIS,USD,0.1055,Actual365Fixed
2021-11-16,USD OIS,9M,OIS,USD,0.12665,Actual365Fixed
2021-11-16,USD OIS,10M,OIS,USD,0.1465,Actual365Fixed
2021-11-16,USD OIS,11M,OIS,USD,0.171,Actual365Fixed
2021-11-16,USD OIS,12M,OIS,USD,0.19815,Actual365Fixed
2021-11-16,USD OIS,18M,OIS,USD,0.38265,Actual365Fixed
2021-11-16,USD OIS,2Y,OIS,USD,0.5804,Actual365Fixed
2021-11-16,USD OIS,3Y,OIS,USD,0.85195,Actual365Fixed
2021-11-16,USD OIS,4Y,OIS,USD,1.0047,Actual365Fixed
2021-11-16,USD OIS,5Y,OIS,USD,1.10665,Actual365Fixed
2021-11-16,USD OIS,6Y,OIS,USD,1.1935,Actual365Fixed
2021-11-16,USD OIS,7Y,OIS,USD,1.26275,Actual365Fixed
2021-11-16,USD OIS,8Y,OIS,USD,1.31475,Actual365Fixed
2021-11-16,USD OIS,9Y,OIS,USD,1.355,Actual365Fixed
2021-11-16,USD OIS,10Y,OIS,USD,1.39,Actual365Fixed
2021-11-16,USD OIS,12Y,OIS,USD,1.4434,Actual365Fixed
2021-11-16,USD OIS,15Y,OIS,USD,1.49375,Actual365Fixed
2021-11-16,USD OIS,20Y,OIS,USD,1.5355,Actual365Fixed
2021-11-16,USD OIS,25Y,OIS,USD,1.5301,Actual365Fixed
2021-11-16,USD OIS,30Y,OIS,USD,1.511,Actual365Fixed
2021-11-16,USD OIS,40Y,OIS,USD,1.407,Actual365Fixed
2021-11-16,USD OIS,50Y,OIS,USD,1.28895,Actual365Fixed
